created_at,entry_id,soil1,soil,temperature,humidity
2024-10-24T20:02:41+07:00,44316,26,42,24.1,91
2024-10-24T20:03:04+07:00,44317,26,40,24.1,92
2024-10-24T20:03:28+07:00,44318,25,43,24.1,92
2024-10-24T20:03:51+07:00,44319,25,41,24.1,92
2024-10-24T20:04:13+07:00,44320,25,41,24.1,92
2024-10-24T20:04:36+07:00,44321,25,41,24.1,92
2024-10-24T20:04:59+07:00,44322,25,40,24.1,91
2024-10-24T20:05:22+07:00,44323,26,40,24.1,91
2024-10-24T20:05:45+07:00,44324,26,40,24.1,90
2024-10-24T20:06:07+07:00,44325,25,41,24.1,90
2024-10-24T20:06:30+07:00,44326,26,42,24.1,90
2024-10-24T20:06:52+07:00,44327,24,41,24.1,91
2024-10-24T20:07:15+07:00,44328,25,43,24.1,92
2024-10-24T20:07:37+07:00,44329,25,40,24.1,92
2024-10-24T20:08:00+07:00,44330,26,42,24.1,92
2024-10-24T20:08:23+07:00,44331,25,41,24.1,92
2024-10-24T20:08:47+07:00,44332,25,40,24.1,92
2024-10-24T20:09:09+07:00,44333,26,42,24.1,91
2024-10-24T20:09:32+07:00,44334,25,42,24.1,91
2024-10-24T20:09:55+07:00,44335,26,40,24.1,91
2024-10-24T20:10:17+07:00,44336,26,40,24.1,90
2024-10-24T20:10:40+07:00,44337,26,41,24.1,90
2024-10-24T20:11:03+07:00,44338,26,42,24.1,90
2024-10-24T20:11:25+07:00,44339,25,41,24.1,90
2024-10-24T20:11:49+07:00,44340,25,42,24.1,90
2024-10-24T20:12:12+07:00,44341,25,41,24.1,90
2024-10-24T20:12:35+07:00,44342,27,41,24.1,90
2024-10-24T20:12:58+07:00,44343,25,41,24.1,90
2024-10-24T20:13:20+07:00,44344,26,42,24.1,91
2024-10-24T20:13:43+07:00,44345,25,42,24.1,91
2024-10-24T20:14:06+07:00,44346,26,41,24.1,91
2024-10-24T20:14:29+07:00,44347,26,41,24.1,90
2024-10-24T20:14:53+07:00,44348,25,41,24.1,90
2024-10-24T20:15:15+07:00,44349,25,42,24.1,90
2024-10-24T20:15:39+07:00,44350,25,41,24.1,90
2024-10-24T20:16:02+07:00,44351,25,41,24.1,91
2024-10-24T20:16:25+07:00,44352,25,40,24.1,91
2024-10-24T20:16:48+07:00,44353,25,42,24.1,90
2024-10-24T20:17:11+07:00,44354,25,41,24.1,90
2024-10-24T20:17:33+07:00,44355,26,42,24.1,90
2024-10-24T20:17:56+07:00,44356,25,42,24.1,90
2024-10-24T20:18:19+07:00,44357,26,41,24.1,91
2024-10-24T20:18:43+07:00,44358,25,41,24.1,92
2024-10-24T20:19:06+07:00,44359,25,41,24.1,92
2024-10-24T20:19:28+07:00,44360,25,41,24.1,92
2024-10-24T20:19:51+07:00,44361,26,42,24.1,93
2024-10-24T20:20:14+07:00,44362,25,40,24.1,93
2024-10-24T20:20:36+07:00,44363,25,42,24.1,93
2024-10-24T20:20:59+07:00,44364,24,42,24.1,93
2024-10-24T20:21:22+07:00,44365,26,41,24.1,93
2024-10-24T20:21:44+07:00,44366,25,41,24.1,93
2024-10-24T20:22:07+07:00,44367,25,41,23.8,93
2024-10-24T20:22:30+07:00,44368,25,40,23.8,93
2024-10-24T20:22:53+07:00,44369,25,42,23.8,93
2024-10-24T20:23:16+07:00,44370,25,40,23.8,93
2024-10-24T20:23:39+07:00,44371,26,42,23.8,93
2024-10-24T20:24:03+07:00,44372,25,40,23.8,93
2024-10-24T20:24:26+07:00,44373,25,41,23.8,93
2024-10-24T20:24:49+07:00,44374,25,41,23.8,93
2024-10-24T20:25:12+07:00,44375,24,41,23.8,93
2024-10-24T20:25:36+07:00,44376,25,40,23.8,93
2024-10-24T20:25:59+07:00,44377,26,39,23.8,93
2024-10-24T20:26:22+07:00,44378,24,41,23.8,93
2024-10-24T20:26:45+07:00,44379,25,41,23.8,93
2024-10-24T20:27:08+07:00,44380,26,40,23.8,93
2024-10-24T20:27:30+07:00,44381,25,43,23.8,93
2024-10-24T20:27:54+07:00,44382,25,41,23.8,93
2024-10-24T20:28:17+07:00,44383,25,42,23.8,93
2024-10-24T20:28:40+07:00,44384,25,42,23.8,94
2024-10-24T20:29:03+07:00,44385,25,42,23.8,94
2024-10-24T20:29:26+07:00,44386,25,41,23.8,94
2024-10-24T20:29:49+07:00,44387,25,41,23.8,94
2024-10-24T20:30:12+07:00,44388,25,42,23.8,94
2024-10-24T20:30:35+07:00,44389,25,41,23.8,94
2024-10-24T20:30:58+07:00,44390,24,40,23.8,94
2024-10-24T20:31:21+07:00,44391,25,42,23.8,94
